acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.7008816120906801,"[0.716624685138539, 0.6851385390428212]",0.6256834812786268,0.06700620326496985,45.0,0.0,0.2706967596928259,"[0.19928825622775753, 0.34210526315789425]",0.8640589267015457,0.0001,Y_net,0.31414203612479474,"[0.2413793103448276, 0.3869047619047619]",0.23815037164093766,"[0.1696969696969697, 0.30660377358490565]",valid
0.9094444444444445,"[0.9038888888888889, 0.915]",0.47276026932588705,0.07172932435624108,46.0,0.0,0.809216740610496,"[0.791314837153196, 0.827118644067796]",0.2474325639506181,0.0001,Y_net,0.8604011955751394,"[0.8388746803069054, 0.8819277108433735]",0.7637909258719517,"[0.7488584474885844, 0.7787234042553192]",train
0.6624685138539044,"[0.6435768261964736, 0.681360201511335]",0.6332431273891571,0.06620178423187834,46.0,0.0,0.2742813884948658,"[0.25329815303430026, 0.2952646239554313]",1.0101853609085083,0.0001,Y_net,0.2924216415538178,"[0.22429906542056074, 0.36054421768707484]",0.27045454545454545,"[0.2909090909090909, 0.25]",valid
0.9225000000000001,"[0.9222222222222223, 0.9227777777777778]",0.46702573578201095,0.07079280125628294,47.0,0.0,0.8385261356190572,"[0.8313253012048187, 0.8457269700332958]",0.2242788751092222,0.0001,Y_net,0.8820463800369336,"[0.8801020408163265, 0.8839907192575406]",0.7991547653745263,"[0.7876712328767124, 0.8106382978723404]",train
0.6687657430730478,"[0.6397984886649875, 0.6977329974811083]",0.6410337587197622,0.06545350444503129,47.0,0.0,0.30286515104328826,"[0.3157894736842101, 0.2899408284023664]",1.0374777615070343,0.0001,Y_net,0.3248792270531401,"[0.2608695652173913, 0.3888888888888889]",0.31556603773584907,"[0.4, 0.23113207547169812]",valid
0.9302777777777778,"[0.9266666666666666, 0.9338888888888889]",0.4612806898750821,0.06986781864779708,48.0,0.0,0.8576893052302883,"[0.8454332552693203, 0.8699453551912563]",0.21098714123169582,0.0001,Y_net,0.8810852420051858,"[0.8677884615384616, 0.8943820224719101]",0.8355047119401535,"[0.8242009132420092, 0.8468085106382979]",train
0.7015113350125946,"[0.7027707808564232, 0.7002518891687658]",0.6466970851226729,0.06473902528345281,48.0,0.0,0.20733780760626352,"[0.21333333333333282, 0.2013422818791942]",0.9489807933568954,0.0001,Y_net,0.29293712316968135,"[0.23703703703703705, 0.3488372093023256]",0.16772441395082904,"[0.19393939393939394, 0.14150943396226415]",valid
0.928611111111111,"[0.9283333333333333, 0.9288888888888889]",0.45549621876743107,0.06898727227209343,49.0,0.0,0.8525793906437756,"[0.8476977567886653, 0.857461024498886]",0.19789763333068955,0.0001,Y_net,0.8886416607636588,"[0.8777506112469438, 0.8995327102803738]",0.8193918196832799,"[0.819634703196347, 0.8191489361702128]",train
0.6788413098236776,"[0.663727959697733, 0.6939546599496221]",0.6560695916414261,0.06404628838412464,49.0,0.0,0.25773510911915204,"[0.2724795640326971, 0.242990654205607]",1.1454246044158936,0.0001,Y_net,0.30266145880643114,"[0.24752475247524752, 0.3577981651376147]",0.2434962835906232,"[0.30303030303030304, 0.18396226415094338]",valid
0.9344444444444444,"[0.9288888888888889, 0.94]",0.44993054303858016,0.06813003775767154,50.0,0.0,0.8643946715972596,"[0.8490566037735843, 0.8797327394209349]",0.19691506922245025,0.0001,Y_net,0.9004729883747435,"[0.8780487804878049, 0.9228971962616822]",0.8311716700670359,"[0.821917808219178, 0.8404255319148937]",train
0.6675062972292192,"[0.681360201511335, 0.6536523929471033]",0.661625377979933,0.06338343261649795,50.0,0.0,0.2981274999115071,"[0.3068493150684927, 0.2894056847545215]",0.9696553498506546,0.0001,Y_net,0.30000000000000004,"[0.28, 0.32]",0.3017724413950829,"[0.3393939393939394, 0.2641509433962264]",valid
0.951111111111111,"[0.9527777777777777, 0.9494444444444444]",0.44379642714117457,0.06729706822910433,51.0,0.0,0.9011402760668367,"[0.9017341040462421, 0.9005464480874312]",0.15577213822139635,0.0001,Y_net,0.9195958213825224,"[0.9133489461358314, 0.9258426966292135]",0.8835033517924804,"[0.8904109589041096, 0.8765957446808511]",train
